net,length_um
net6,154.78
net8,147.92
clknet_2_1__leaf_clk,126.88
clknet_2_3__leaf_clk,126.08
clknet_2_2__leaf_clk,122.36
net7,98.64
clknet_2_0__leaf_clk,94.38
clk,85.46
net9,77.27
net1,75.44
net2,68.6
clknet_0_clk,59.38
net3,57.38
net5,52.5
_092_,49.78
_096_,46
_060_,44.47
_101_,42.33
row\[3\].col\[1\].pe_inst.have_b,41.785
row\[1\].col\[1\].pe_inst.have_b,39.1
_072_,38.94
_087_,38.94
row\[2\].col\[3\].pe_inst.have_b,38.9
_091_,37.14
row\[1\].col\[3\].pe_inst.have_b,36.3
_103_,35.52
_061_,35.375
_068_,35.34
row\[1\].col\[0\].pe_inst.have_b,34.72
_115_,34.62
row\[1\].col\[2\].pe_inst.have_b,34.3
_088_,33.9
_075_,33.44
_082_,33.24
_089_,32.9
_108_,32.78
_106_,32.28
row\[1\].col\[1\].pe_inst.have_a,31.98
row\[0\].col\[3\].pe_inst.have_a,30.92
row\[0\].col\[1\].pe_inst.have_b,30.88
row\[2\].col\[3\].pe_inst.have_a,30.84
_083_,30.14
_090_,30.1
_138_,29.76
_070_,29.64
row\[0\].col\[1\].pe_inst.b_out_valid,29.52
row\[3\].col\[0\].pe_inst.have_b,29.14
_137_,28.98
_097_,28.16
_126_,27.54
net20,27.5
_058_,27.44
row\[3\].col\[2\].pe_inst.have_b,27.36
row\[1\].col\[3\].pe_inst.have_a,27.24
_067_,27.14
_076_,27.06
_125_,26.95
row\[3\].col\[2\].pe_inst.have_a,26.54
net25,25.34
_135_,25.1
_086_,24.36
_078_,24.32
_122_,24.12
_150_,24.06
_057_,23.94
net21,23.48
row\[0\].col\[3\].pe_inst.have_b,22.83
_142_,22.54
_105_,22.52
_124_,22.42
_132_,22.4
_109_,22.34
_081_,22.12
_111_,22.06
_062_,21.455
_102_,21.4
_059_,21.36
net22,21.22
row\[2\].col\[1\].pe_inst.have_a,21.2
_094_,20.895
row\[0\].col\[2\].pe_inst.have_b,20.7
row\[2\].col\[0\].pe_inst.have_b,20.42
_104_,20.32
_095_,20.31
net18,20.3
row\[0\].col\[1\].pe_inst.have_a,19.78
row\[1\].col\[3\].pe_inst.b_out_valid,19.52
row\[1\].col\[0\].pe_inst.have_a,19.31
_065_,19.04
_145_,19
_084_,18.56
row\[3\].col\[1\].pe_inst.have_a,18.52
_080_,18.38
_077_,18.36
row\[3\].col\[3\].pe_inst.have_b,18.2
net46,18.1
_004_,17.965
row\[3\].col\[0\].pe_inst.have_a,17.88
net50,17.52
row\[0\].col\[0\].pe_inst.have_a,16.9
net12,16.84
_056_,16.78
_146_,16.2
net23,16.08
_010_,16.04
row\[3\].col\[1\].pe_inst.a_out_valid,15.52
_069_,15.4
row\[2\].col\[0\].pe_inst.a_out_valid,15.4
a_in_valid,15.28
_073_,15.12
row\[2\].col\[2\].pe_inst.have_b,15.06
_085_,15.04
_074_,14.98
net43,14.94
row\[1\].col\[2\].pe_inst.b_out_valid,14.86
row\[0\].col\[0\].pe_inst.have_b,14.84
net14,14.82
row\[1\].col\[2\].pe_inst.a_out_valid,14.8
_127_,14.38
_093_,14.3
_139_,14.16
_011_,14.12
_129_,14.08
_007_,13.92
row\[2\].col\[0\].pe_inst.b_out_valid,13.74
row\[2\].col\[1\].pe_inst.have_b,13.355
row\[2\].col\[1\].pe_inst.b_out_valid,13.26
_066_,13.18
_100_,13.14
_048_,13.04
_107_,12.94
row\[0\].col\[2\].pe_inst.have_a,12.94
_154_,12.8
net10,12.56
net65,12.42
_030_,12.345
_045_,12.12
_005_,12.06
row\[3\].col\[2\].pe_inst.a_out_valid,12
net4,11.96
net52,11.96
_128_,11.66
net38,11.64
_144_,11.5
_119_,11.48
_008_,11.36
_110_,11.3
_063_,11.08
_015_,11.04
_113_,10.96
net41,10.9
row\[3\].col\[3\].pe_inst.have_a,10.78
row\[2\].col\[3\].pe_inst.b_out_valid,10.74
_120_,10.68
_027_,10.24
net27,10.22
_036_,10.2
_116_,9.92
_016_,9.9
_038_,9.86
net37,9.78
net17,9.74
_136_,9.44
net31,8.98
a_in_ready,8.96
b_in_ready,8.96
net32,8.96
net40,8.9
_114_,8.66
net13,8.66
net44,8.66
net16,8.54
_049_,8.36
_044_,8.2
_017_,8.16
net34,7.86
_034_,7.845
_006_,7.82
_141_,7.68
_099_,7.66
row\[2\].col\[2\].pe_inst.a_out_valid,7.64
_156_,7.6
_153_,7.18
_029_,6.985
row\[1\].col\[2\].pe_inst.have_a,6.94
row\[2\].col\[2\].pe_inst.have_a,6.86
_020_,6.72
_037_,6.72
_149_,6.3
row\[2\].col\[0\].pe_inst.have_a,6.28
_009_,6.26
_033_,6.26
_053_,6.18
net54,6.14
_013_,5.94
_019_,5.84
row\[1\].col\[1\].pe_inst.a_out_valid,5.84
row\[1\].col\[1\].pe_inst.b_out_valid,5.84
net29,5.84
_018_,5.8
b_in_valid,5.63
_040_,5.38
_023_,5.34
_026_,5.34
net39,5.12
_001_,5.04
row\[0\].col\[2\].pe_inst.a_out_valid,5.02
_003_,4.92
_021_,4.92
_118_,4.88
_064_,4.8
_071_,4.8
_155_,4.6
_014_,4.46
_022_,4.46
_054_,4.46
_079_,4.46
rst_n,4.39
_031_,4.34
_012_,4
_130_,4
net62,4
_134_,3.9
_050_,3.88
_024_,3.66
_002_,3.54
_143_,3.54
row\[0\].col\[1\].pe_inst.a_out_valid,3.54
net15,3.54
net63,3.54
row\[2\].col\[2\].pe_inst.b_out_valid,3.42
net51,3.42
net58,3.42
_123_,3.22
net36,3.2
net47,3.2
_035_,3.1
_039_,3.1
_032_,3.08
_052_,3.08
_152_,3.08
net53,3.08
_117_,2.96
net35,2.96
net45,2.96
net61,2.96
net64,2.76
_046_,2.74
_051_,2.74
net19,2.74
_131_,2.64
net59,2.64
row\[0\].col\[0\].pe_inst.a_out_valid,2.62
row\[1\].col\[0\].pe_inst.a_out_valid,2.62
net33,2.62
net57,2.46
_043_,2.3
_112_,2.3
_151_,2.3
net48,2.3
net49,2.3
_133_,2.18
_025_,2.16
_028_,2.16
_047_,2.16
_121_,2.16
_147_,2.16
row\[0\].col\[0\].pe_inst.b_out_valid,2.16
row\[3\].col\[0\].pe_inst.a_out_valid,2.16
_140_,2.06
net24,2.04
net28,2.005
row\[2\].col\[1\].pe_inst.a_out_valid,1.84
net11,1.84
net30,1.84
net56,1.84
_055_,1.82
net42,1.82
_000_,1.7
row\[0\].col\[2\].pe_inst.b_out_valid,1.7
row\[1\].col\[0\].pe_inst.b_out_valid,1.7
net26,1.7
row\[0\].col\[3\].pe_inst.b_out_valid,1.6
_098_,1.48
_042_,1.36
net55,1.02
net60,0.92
net66,0.92
_041_,0.46
_148_,0.46
